"","longitude","latitude","taxon_family_name","ID","elevation","elev_units"
"1",169.344978,-44.645941,"Salticidae",1,973,"meters"
"2",169.34206,-44.646918,"Cycloctenidae",2,973,"meters"
"3",169.356995,-44.63788,"Salticidae",3,973,"meters"
"4",169.356995,-44.63788,"Zoropsidae",4,973,"meters"
"5",169.3757915497,-44.6420021641,"Gnaphosidae",5,1158,"meters"
"6",169.3496993335,-44.6423496774,"Corinnidae",6,973,"meters"
"7",169.3464377698,-44.6442428074,"",7,973,"meters"
"8",169.3481114665,-44.6421359455,"Salticidae",8,973,"meters"
"9",169.3484977114,-44.642410772,"Gnaphosidae",9,973,"meters"
"10",169.338668931,-44.6477740451,"Pisauridae",10,701,"meters"
"11",169.3376536689,-44.6478409425,"Pisauridae",11,701,"meters"
"12",169.338112193,-44.6500381859,"Pisauridae",12,701,"meters"
"13",169.3309333333,-44.63977,"Pisauridae",13,701,"meters"
"14",169.32473,-44.651085,"Salticidae",14,752,"meters"
"15",169.3286138889,-44.6516944444,"Pisauridae",15,752,"meters"
"16",169.3312833333,-44.6394466667,"Pisauridae",16,701,"meters"
"17",169.3313,-44.6394166667,"",17,701,"meters"
"18",169.3313,-44.63942,"",18,701,"meters"
"19",169.3309033333,-44.6398616667,"Pisauridae",19,701,"meters"
"20",169.330995,-44.639555,"Pisauridae",20,701,"meters"
"21",169.33072,-44.6406666667,"Pisauridae",21,701,"meters"
"22",169.3285533333,-44.65175,"Pisauridae",22,752,"meters"
"23",169.3312216667,-44.6398416667,"Pisauridae",23,701,"meters"
"24",169.33168,-44.6397866667,"Pisauridae",24,701,"meters"
"25",169.3285666667,-44.65172,"Pisauridae",25,752,"meters"
"26",169.32373,-44.6511083333,"Zoropsidae",26,752,"meters"
"27",169.3411665782,-44.6684232511,"",27,1016,"meters"
"28",169.3413966667,-44.66842,"",28,1016,"meters"
"29",169.3285366667,-44.6518333333,"Cycloctenidae",29,752,"meters"
"30",169.3262285855,-44.6512694889,"Pisauridae",30,752,"meters"
"31",169.3262285855,-44.6512694889,"Pisauridae",31,752,"meters"
"32",169.3222591203,-44.6506524071,"Hexathelidae",32,752,"meters"
"33",169.3222591203,-44.6506524071,"Hexathelidae",33,752,"meters"
"34",169.3228572734,-44.6503279528,"Thomisidae",34,701,"meters"
"35",169.335148812,-44.6650936897,"Corinnidae",35,752,"meters"
"36",169.3348698623,-44.6650936897,"Lycosidae",36,752,"meters"
"37",169.3528943069,-44.6688631069,"Clubionidae",37,1016,"meters"
"38",169.3528943069,-44.6688631069,"Corinnidae",38,1016,"meters"
"39",169.3439631711,-44.6690157107,"Araneidae",39,1016,"meters"
"40",169.3439631711,-44.6690157107,"Salticidae",40,1016,"meters"
"41",169.322331,-44.650645,"Hexathelidae",41,752,"meters"
"42",169.3291158864,-44.6325722622,"",42,701,"meters"
"43",169.3294697283,-44.651969875,"Pisauridae",43,752,"meters"
"44",169.3294697283,-44.651969875,"",44,752,"meters"
"45",169.3258366667,-44.651195,"Thomisidae",45,752,"meters"
"46",169.32608,-44.65117,"",46,752,"meters"
"47",169.3406533333,-44.6686583333,"Corinnidae",47,1016,"meters"
"48",169.3440049097,-44.6691415074,"Gnaphosidae",48,1016,"meters"
"49",169.3440049097,-44.6691415074,"",49,1016,"meters"
"50",169.3285055556,-44.6518833333,"Pisauridae",50,752,"meters"
