id,observed_on_string,observed_on,latitude,longitude,positional_accuracy,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_order_name,taxon_family_name
2831600,2016-03-21,2016-03-21,-44.645941,169.344978,908,Jumping Spiders,Salticidae,Jumping Spiders,Arachnida,48139,Araneae,Salticidae
2831694,2016-03-21,2016-03-21,-44.646918,169.34206,378,Cycloctenus,Cycloctenus,,Arachnida,376112,Araneae,Cycloctenidae
6137815,2017-03-28,2017-03-28,-44.63788,169.356995,3224,Chink Jumping Spiders,Holoplatys,,Arachnida,368945,Araneae,Salticidae
6137884,2017-03-28,2017-03-28,-44.63788,169.356995,3224,Araneomorphae,Uliodon,Vagrant Spiders,Arachnida,318992,Araneae,Zoropsidae
10446779,2018/03/21 3:40 PM NZDT,2018-03-21,-44.6420021641,169.3757915497,257,Araneomorphae,Gnaphosidae,Ground Spiders,Arachnida,50168,Araneae,Gnaphosidae
21313291,2019/03/15 12:44 PM NZDT,2019-03-15,-44.6423496774,169.3496993335,466,Spotted ground swift,Nyssus coloripes,Spotted Ground Swift Spider,Arachnida,466015,Araneae,Corinnidae
21352783,2019/03/18 1:18 PM NZDT,2019-03-18,-44.6442428074,169.3464377698,510,Mygalomorphs,Mygalomorphae,Mygalomorphs,Arachnida,84719,Araneae,
21411319,2019/03/15 2:57 PM NZDT,2019-03-15,-44.6421359455,169.3481114665,422,Holoplatys apressus,Holoplatys apressus,,Arachnida,861012,Araneae,Salticidae
21414818,2019/03/15 2:58 PM NZDT,2019-03-15,-44.642410772,169.3484977114,408,Ground Spiders,Gnaphosidae,Ground Spiders,Arachnida,50168,Araneae,Gnaphosidae
21433681,2019/03/16 10:50 AM NZDT,2019-03-16,-44.6477740451,169.338668931,370,Nurseryweb Spider,Dolomedes minor,Nurseryweb spider,Arachnida,407459,Araneae,Pisauridae
21445219,2019/03/16 2:03 PM NZDT,2019-03-16,-44.6478409425,169.3376536689,591,Water Spider,Dolomedes aquaticus,Water Spider,Arachnida,388730,Araneae,Pisauridae
21446967,2019/03/16 3:19 PM NZDT,2019-03-16,-44.6500381859,169.338112193,577,Water Spider,Dolomedes aquaticus,Water Spider,Arachnida,388730,Araneae,Pisauridae
151681666,2023-03-20 11:07:23+13:00,2023-03-20,-44.63977,169.3309333333,11,"",Dolomedes minor,Nurseryweb spider,Arachnida,407459,Araneae,Pisauridae
151691000,2023-03-20 11:10:16,2023-03-20,-44.651085,169.32473,2,Jumping Spiders,Salticidae,Jumping Spiders,Arachnida,48139,Araneae,Salticidae
151695567,2023/03/20 11:51 AM,2023-03-20,-44.6516944444,169.3286138889,4,Water Spider,Dolomedes aquaticus,Water Spider,Arachnida,388730,Araneae,Pisauridae
151696911,2023-03-20 11:01:01+13:00,2023-03-20,-44.6394466667,169.3312833333,8,Nurseryweb spider,Dolomedes minor,Nurseryweb spider,Arachnida,407459,Araneae,Pisauridae
151697158,2023-03-20 11:26:13+13:00,2023-03-20,-44.6394166667,169.3313,4,Typical Spiders,Araneomorphae,Typical Spiders,Arachnida,120474,Araneae,
151697217,2023-03-20 11:27:15+13:00,2023-03-20,-44.63942,169.3313,4,Araneoid Spiders,Araneoidea,Araneoid Spiders,Arachnida,319384,Araneae,
151701026,2023-03-20 11:09:08+13:00,2023-03-20,-44.6398616667,169.3309033333,5,"",Dolomedes minor,Nurseryweb spider,Arachnida,407459,Araneae,Pisauridae
151701148,2023-03-20 11:07:29+13:00,2023-03-20,-44.639555,169.330995,5,Nurseryweb spider,Dolomedes minor,Nurseryweb spider,Arachnida,407459,Araneae,Pisauridae
151717050,2023-03-20 11:11:11+13:00,2023-03-20,-44.6406666667,169.33072,19,Nurseryweb spider,Dolomedes minor,Nurseryweb spider,Arachnida,407459,Araneae,Pisauridae
151795039,2023-03-21 11:58:56+13:00,2023-03-21,-44.65175,169.3285533333,4,Water Spider,Dolomedes aquaticus,Water Spider,Arachnida,388730,Araneae,Pisauridae
151795412,2023-03-20 11:17:07+13:00,2023-03-20,-44.6398416667,169.3312216667,4,"",Dolomedes,Fishing Spiders,Arachnida,82118,Araneae,Pisauridae
151797303,2023-03-20 11:31:59+13:00,2023-03-20,-44.6397866667,169.33168,4,"",Dolomedes,Fishing Spiders,Arachnida,82118,Araneae,Pisauridae
151799438,2023-03-21 11:39:57+13:00,2023-03-21,-44.65172,169.3285666667,4,Water Spider,Dolomedes aquaticus,Water Spider,Arachnida,388730,Araneae,Pisauridae
